trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'e': 0.14471340640238872, 'a': 0.2}",35,19,-10.622756228248395,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'e': 0.14241641681885414, 'a': 0.2}",25,5,22.151971141776354,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'e': 0.1395963828229427, 'a': 0.2}",20,12,17.50952480821744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.13848406695617121, 'a': 0.2}",20,13,13.272823790117014,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'e': 0.13751806344428075, 'a': 0.2}",20,10,11.096844386802758,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.1361497358505177, 'a': 0.2}",20,4,-36.93714876129059,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
122,False,"{'e': 0.13398867466880493, 'a': 0.2}",25,13,21.64104353805411,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.13239041928410605, 'a': 0.2}",20,10,-46.30561216966507,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
124,False,"{'e': 0.13107311260221188, 'a': 0.2}",25,20,10.098120368798536,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'e': 0.13041938272582848, 'a': 0.2}",20,7,1.2779305505797969,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'e': 0.12873490358780423, 'a': 0.2}",20,6,28.11288264537871,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.12694517228885002, 'a': 0.2}",20,12,17.81829817988802,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.12593366234502845, 'a': 0.2}",20,14,2.605256229667369,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'e': 0.12518032265006093, 'a': 0.2}",20,9,21.75843442298181,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'e': 0.12381088481745986, 'a': 0.2}",30,16,25.231931869203578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'e': 0.1220896094715092, 'a': 0.2}",20,3,8.813466374903074,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'e': 0.12003162851145673, 'a': 0.2}",30,10,37.83484257971088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.11765484302177918, 'a': 0.2}",20,0,24.172439692414706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'e': 0.11532512103806251, 'a': 0.2}",20,0,25.03483128624924,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'e': 0.11304153064044985, 'a': 0.2}",25,8,34.85491992180044,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
